"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: minPrice","Param: minQuantity","Param: size"
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearch","avgt",1,5,788.398577,4.738046,"us/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearch:CPI","avgt",1,1,1.322963,NaN,"clks/insn",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearch:IPC","avgt",1,1,0.755879,NaN,"insns/clk",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearch:L1-dcache-load-misses","avgt",1,1,57395.399496,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearch:L1-dcache-loads","avgt",1,1,511756.345936,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearch:L1-dcache-stores","avgt",1,1,3254.744486,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearch:L1-icache-load-misses","avgt",1,1,559.939509,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearch:LLC-load-misses","avgt",1,1,117.921235,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearch:LLC-loads","avgt",1,1,2858.781348,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearch:LLC-store-misses","avgt",1,1,0.961248,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearch:LLC-stores","avgt",1,1,16.984089,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearch:branch-misses","avgt",1,1,50739.339319,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearch:branches","avgt",1,1,434330.541115,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearch:cycles","avgt",1,1,2069040.300252,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearch:dTLB-load-misses","avgt",1,1,9.707940,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearch:dTLB-loads","avgt",1,1,511848.001890,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearch:dTLB-store-misses","avgt",1,1,0.341997,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearch:dTLB-stores","avgt",1,1,661.425173,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearch:iTLB-load-misses","avgt",1,1,4.908790,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearch:iTLB-loads","avgt",1,1,6.413359,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearch:instructions","avgt",1,1,1563944.003466,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchBranchFreeScan","avgt",1,5,318.658648,2.686338,"us/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchBranchFreeScan:CPI","avgt",1,1,0.305028,NaN,"clks/insn",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchBranchFreeScan:IPC","avgt",1,1,3.278388,NaN,"insns/clk",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchBranchFreeScan:L1-dcache-load-misses","avgt",1,1,56461.588850,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchBranchFreeScan:L1-dcache-loads","avgt",1,1,603237.807773,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchBranchFreeScan:L1-dcache-stores","avgt",1,1,1305.265817,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchBranchFreeScan:L1-icache-load-misses","avgt",1,1,188.917681,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchBranchFreeScan:LLC-load-misses","avgt",1,1,247.989678,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchBranchFreeScan:LLC-loads","avgt",1,1,1853.867983,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchBranchFreeScan:LLC-store-misses","avgt",1,1,10.044218,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchBranchFreeScan:LLC-stores","avgt",1,1,21.660720,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchBranchFreeScan:branch-misses","avgt",1,1,524.965594,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchBranchFreeScan:branches","avgt",1,1,403042.075820,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchBranchFreeScan:cycles","avgt",1,1,827022.091749,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchBranchFreeScan:dTLB-load-misses","avgt",1,1,9.428162,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchBranchFreeScan:dTLB-loads","avgt",1,1,597043.240968,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchBranchFreeScan:dTLB-store-misses","avgt",1,1,0.374004,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchBranchFreeScan:dTLB-stores","avgt",1,1,865.100287,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchBranchFreeScan:iTLB-load-misses","avgt",1,1,1.770309,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchBranchFreeScan:iTLB-loads","avgt",1,1,3.598535,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchBranchFreeScan:instructions","avgt",1,1,2711299.599745,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex","avgt",1,5,78.857742,12.553588,"us/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:CPI","avgt",1,1,0.363943,NaN,"clks/insn",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:IPC","avgt",1,1,2.747683,NaN,"insns/clk",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:L1-dcache-load-misses","avgt",1,1,14541.022596,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:L1-dcache-loads","avgt",1,1,227462.427746,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:L1-dcache-stores","avgt",1,1,109857.716181,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:L1-icache-load-misses","avgt",1,1,137.873251,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:LLC-load-misses","avgt",1,1,7.660674,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:LLC-loads","avgt",1,1,1059.191474,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:LLC-store-misses","avgt",1,1,548.598979,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:LLC-stores","avgt",1,1,832.815106,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:branch-misses","avgt",1,1,246.712585,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:branches","avgt",1,1,33903.586072,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:cycles","avgt",1,1,204585.327879,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:dTLB-load-misses","avgt",1,1,8.368313,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:dTLB-loads","avgt",1,1,225631.242757,NaN,"#/op",100,1,1000000
