"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: distribution","Param: size"
"io.github.richardstartin.range.RangeEvaluationBenchmark.binarySearch","avgt",1,5,1449.899110,179.473294,"us/op",EXP(0.5),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.binarySearch:cardinality","avgt",1,5,37758060.000000,NaN,"#",EXP(0.5),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.binarySearch:rows","avgt",1,5,11933890.000000,NaN,"#",EXP(0.5),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.binarySearch:serializedSize","avgt",1,5,0.000000,NaN,"#",EXP(0.5),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.binarySearch","avgt",1,5,22.337723,0.316032,"us/op",EXP(0.01),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.binarySearch:cardinality","avgt",1,5,49749530.000000,NaN,"#",EXP(0.01),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.binarySearch:rows","avgt",1,5,2618600.000000,NaN,"#",EXP(0.01),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.binarySearch:serializedSize","avgt",1,5,0.000000,NaN,"#",EXP(0.01),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.binarySearch","avgt",1,5,0.514934,0.005765,"us/op",EXP(0.0001),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.binarySearch:cardinality","avgt",1,5,49997540.000000,NaN,"#",EXP(0.0001),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.binarySearch:rows","avgt",1,5,2501040.000000,NaN,"#",EXP(0.0001),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.binarySearch:serializedSize","avgt",1,5,0.000000,NaN,"#",EXP(0.0001),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.binarySearch","avgt",1,5,2.769166,0.055132,"us/op","UNIFORM(1635012703,1635016303)",10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.binarySearch:cardinality","avgt",1,5,49986350.000000,NaN,"#","UNIFORM(1635012703,1635016303)",10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.binarySearch:rows","avgt",1,5,2523015.000000,NaN,"#","UNIFORM(1635012703,1635016303)",10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.binarySearch:serializedSize","avgt",1,5,0.000000,NaN,"#","UNIFORM(1635012703,1635016303)",10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.intervals","avgt",1,5,0.680820,0.008419,"us/op",EXP(0.5),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.intervals:cardinality","avgt",1,5,37758060.000000,NaN,"#",EXP(0.5),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.intervals:rows","avgt",1,5,11933890.000000,NaN,"#",EXP(0.5),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.intervals:serializedSize","avgt",1,5,1860.000000,NaN,"#",EXP(0.5),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.intervals","avgt",1,5,0.213052,0.005346,"us/op",EXP(0.01),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.intervals:cardinality","avgt",1,5,49749530.000000,NaN,"#",EXP(0.01),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.intervals:rows","avgt",1,5,2618600.000000,NaN,"#",EXP(0.01),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.intervals:serializedSize","avgt",1,5,73140.000000,NaN,"#",EXP(0.01),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.intervals","avgt",1,5,0.211292,0.001531,"us/op",EXP(0.0001),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.intervals:cardinality","avgt",1,5,49997540.000000,NaN,"#",EXP(0.0001),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.intervals:rows","avgt",1,5,2501040.000000,NaN,"#",EXP(0.0001),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.intervals:serializedSize","avgt",1,5,4493760.000000,NaN,"#",EXP(0.0001),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.intervals","avgt",1,5,0.203256,0.000981,"us/op","UNIFORM(1635012703,1635016303)",10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.intervals:cardinality","avgt",1,5,49986350.000000,NaN,"#","UNIFORM(1635012703,1635016303)",10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.intervals:rows","avgt",1,5,2523015.000000,NaN,"#","UNIFORM(1635012703,1635016303)",10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.intervals:serializedSize","avgt",1,5,216000.000000,NaN,"#","UNIFORM(1635012703,1635016303)",10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.invertedIndex","avgt",1,5,237.685041,5.198339,"us/op",EXP(0.5),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.invertedIndex:cardinality","avgt",1,5,37758060.000000,NaN,"#",EXP(0.5),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.invertedIndex:rows","avgt",1,5,19175090.000000,NaN,"#",EXP(0.5),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.invertedIndex:serializedSize","avgt",1,5,38730000.000000,NaN,"#",EXP(0.5),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.invertedIndex","avgt",1,5,9359.367639,106.717667,"us/op",EXP(0.01),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.invertedIndex:cardinality","avgt",1,5,49749530.000000,NaN,"#",EXP(0.01),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.invertedIndex:rows","avgt",1,5,2841595.000000,NaN,"#",EXP(0.01),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.invertedIndex:serializedSize","avgt",1,5,104446140.000000,NaN,"#",EXP(0.01),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.invertedIndex","avgt",1,5,372245.881100,3975.822450,"us/op",EXP(0.0001),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.invertedIndex:cardinality","avgt",1,5,49997540.000000,NaN,"#",EXP(0.0001),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.invertedIndex:rows","avgt",1,5,2503320.000000,NaN,"#",EXP(0.0001),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.invertedIndex:serializedSize","avgt",1,5,257702640.000000,NaN,"#",EXP(0.0001),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.invertedIndex","avgt",1,5,59382.388965,897.386797,"us/op","UNIFORM(1635012703,1635016303)",10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.invertedIndex:cardinality","avgt",1,5,49986350.000000,NaN,"#","UNIFORM(1635012703,1635016303)",10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.invertedIndex:rows","avgt",1,5,2537315.000000,NaN,"#","UNIFORM(1635012703,1635016303)",10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.invertedIndex:serializedSize","avgt",1,5,122392000.000000,NaN,"#","UNIFORM(1635012703,1635016303)",10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.rangeBitmap","avgt",1,5,1970.937597,122.980578,"us/op",EXP(0.5),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.rangeBitmap:cardinality","avgt",1,5,37758060.000000,NaN,"#",EXP(0.5),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.rangeBitmap:rows","avgt",1,5,11933890.000000,NaN,"#",EXP(0.5),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.rangeBitmap:serializedSize","avgt",1,5,22406230.000000,NaN,"#",EXP(0.5),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.rangeBitmap","avgt",1,5,3279.989808,43.744148,"us/op",EXP(0.01),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.rangeBitmap:cardinality","avgt",1,5,49749530.000000,NaN,"#",EXP(0.01),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.rangeBitmap:rows","avgt",1,5,2618600.000000,NaN,"#",EXP(0.01),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.rangeBitmap:serializedSize","avgt",1,5,57620185.000000,NaN,"#",EXP(0.01),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.rangeBitmap","avgt",1,5,4686.443594,526.511499,"us/op",EXP(0.0001),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.rangeBitmap:cardinality","avgt",1,5,49997540.000000,NaN,"#",EXP(0.0001),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.rangeBitmap:rows","avgt",1,5,2501040.000000,NaN,"#",EXP(0.0001),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.rangeBitmap:serializedSize","avgt",1,5,100592675.000000,NaN,"#",EXP(0.0001),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.rangeBitmap","avgt",1,5,3251.633657,99.173012,"us/op","UNIFORM(1635012703,1635016303)",10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.rangeBitmap:cardinality","avgt",1,5,49986350.000000,NaN,"#","UNIFORM(1635012703,1635016303)",10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.rangeBitmap:rows","avgt",1,5,2523015.000000,NaN,"#","UNIFORM(1635012703,1635016303)",10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.rangeBitmap:serializedSize","avgt",1,5,75334955.000000,NaN,"#","UNIFORM(1635012703,1635016303)",10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.scan","avgt",1,5,76474.276536,4992.465685,"us/op",EXP(0.5),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.scan:cardinality","avgt",1,5,37758060.000000,NaN,"#",EXP(0.5),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.scan:rows","avgt",1,5,11933890.000000,NaN,"#",EXP(0.5),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.scan:serializedSize","avgt",1,5,0.000000,NaN,"#",EXP(0.5),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.scan","avgt",1,5,46996.264056,2717.862331,"us/op",EXP(0.01),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.scan:cardinality","avgt",1,5,49749530.000000,NaN,"#",EXP(0.01),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.scan:rows","avgt",1,5,2618600.000000,NaN,"#",EXP(0.01),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.scan:serializedSize","avgt",1,5,0.000000,NaN,"#",EXP(0.01),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.scan","avgt",1,5,47331.717592,2794.703432,"us/op",EXP(0.0001),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.scan:cardinality","avgt",1,5,49997540.000000,NaN,"#",EXP(0.0001),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.scan:rows","avgt",1,5,2501040.000000,NaN,"#",EXP(0.0001),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.scan:serializedSize","avgt",1,5,0.000000,NaN,"#",EXP(0.0001),10000000
"io.github.richardstartin.range.RangeEvaluationBenchmark.scan","avgt",1,5,46881.448207,2515.545469,"us/op","UNIFORM(1635012703,1635016303)",10000000
